BHARTI AIRTEL LIMITED 

BIHAR JHARKHAND 

Call Details of CELL ID '405-52-792-51620' from '11-Jun-2026 00:00:00' to '11-Jun-2026 23:59:59' 

Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
'8981454311',IN,Pre,'8101279662',3044,RJIL-WB,'11/06/2026',00:04:28,236,25.3952767/85.9233168,405-52-792-51620,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'911651805743770','404310502755405',-,AIR BHR,'9934129181',0894,,,,,
'8981454311',SMT,Pre,'AK-AIRTEL-S',,-,'11/06/2026',00:08:23,0,25.3952767/85.9233168,405-52-792-51620,,---,'919831029344',SMS,'911651805743770','404310502755405',-,AIR BHR,'9934129181',,,,,,
'7870501159',OUT,Pre,'9798237585',3087,RJIL-BR,'11/06/2026',00:12:43,380,25.3952767/85.9233168,405-52-792-51620,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'353824116117770','405525221385888',-,AIR BHR,'9934129181',,1410,,,,
'7070418821',OUT,Pre,'9968900493',3103,RJIL-DL,'11/06/2026',00:19:02,695,25.3987588/85.9133416,405-52-792-20693,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'357355786685370','405523226234695',-,AIR BHR,'9934129181',,0896,,,,
'7870501159',OUT,Pre,'9798237585',3087,RJIL-BR,'11/06/2026',00:20:22,70,25.3952767/85.9233168,405-52-792-51620,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'353824116117770','405525221385888',-,AIR BHR,'9934129181',,1410,,,,
'9591266790',OUT,Pre,'7099760258',2725,AIR-AS,'11/06/2026',00:29:41,70,25.3876427/85.9178769,405-52-792-4660,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'359571529396710','404450644264363',-,AIR BHR,'9934129226',,1201,,,,
'8271255291',IN,Pre,'6369486183',3100,RJIL-TN,'11/06/2026',00:35:13,20,25.3952767/85.9233168,405-52-792-51620,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'353036899921840','405522223860386',-,AIR BHR,'9934129179',2986,,,,,
'8271255291',IN,Pre,'6369486183',3100,RJIL-TN,'11/06/2026',00:36:00,772,25.3952767/85.9233168,405-52-792-51620,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'353036899921840','405522223860386',-,AIR BHR,'9934129179',1202,,,,,
'8271255291',OUT,Pre,'6369486183',3100,RJIL-TN,'11/06/2026',00:50:04,7420,25.3952767/85.9233168,405-52-792-51620,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'353036899921840','405522223860386',-,AIR BHR,'9934129179',,0896,,,,
'9771807581',IN,Pre,'9199895411',3087,RJIL-BR,'11/06/2026',00:57:11,444,25.3952767/85.9233168,405-52-792-51620,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'861441052328790','405525224182126',-,AIR BHR,'9934129223',2247,,,,,
