BHARTI AIRTEL LIMITED 

BIHAR JHARKHAND 

Call Details of CELL ID '405-52-792-4660' from '11-Jun-2026 00:00:00' to '11-Jun-2026 23:59:59' 

Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
'6204998150',SMO,Pre,'52263',,-,'11/06/2026',00:00:26,0,25.3876427/85.9178769,405-52-792-4660,,---,'919934029007',SMS,'359384796566040','405522221030468',-,AIR BHR,'9934129181',,,,,,
'7970978725',IN,Pre,'9955038725',2726,AIR-BR,'11/06/2026',00:00:37,552,25.3876427/85.9178769,405-52-792-4660,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'867519080380290','405525221184731',-,AIR BHR,'9934129212',1353,,,,,
'7463012071',OUT,Pre,'7632067899',2726,AIR-BR,'11/06/2026',00:03:04,102,25.3776653/85.9063618,405-52-792-2120,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'357308082163930','405524120718571',-,AIR BHR,'9934129181',,4051,,,,
'7739332088',SMT,Pre,'BT-WIPJCB-S',,-,'11/06/2026',00:07:09,0,25.3876427/85.9178769,405-52-792-4660,,---,'919442599994',SMS,'357601279052960','405523225712640',-,AIR BHR,'9934129226',,,,,,
'9096047701',OUT,Pre,'9765586156',3095,RJIL-MH,'11/06/2026',00:08:21,6056,25.3876427/85.9178769,405-52-792-4660,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'354041636112220','404100656395590',-,AIR BHR,'9934129181',,1803,,,,
'7970978725',OUT,Pre,'9955038725',2726,AIR-BR,'11/06/2026',00:10:15,1477,25.3876427/85.9178769,405-52-792-4660,25.3952767/85.9233168,405-52-792-51625,'-',Voice,'867519080380290','405525221184731',-,AIR BHR,'9934129212',,1353,,,,
'7070012497',OUT,Pre,'7634068800',2726,AIR-BR,'11/06/2026',00:14:34,4,25.3876427/85.9178769,405-52-792-4660,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'351712077200670','405524201453719',-,AIR BHR,'9934129181',,5056,,,,
'9591266790',OUT,Pre,'7099760258',2725,AIR-AS,'11/06/2026',00:20:13,520,25.4025777/85.9051504,405-52-792-36412,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'359571529396710','404450644264363',-,AIR BHR,'9934129226',,1201,,,,
'7739332088',SMT,Pre,'BG-WIPJCB-S',,-,'11/06/2026',00:21:48,0,25.3876427/85.9178769,405-52-792-4660,,---,'919427099987',SMS,'357601279052960','405523225712640',-,AIR BHR,'9934129226',,,,,,
'7544015992',IN,Pre,'9229344393',3087,RJIL-BR,'11/06/2026',00:27:49,48,25.3876427/85.9178769,405-52-792-4669,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'861175050099110','405526219102848',-,AIR BHR,'9934129223',5407,,,,,
'9591266790',OUT,Pre,'7099760258',2725,AIR-AS,'11/06/2026',00:29:41,70,25.3876427/85.9178769,405-52-792-4660,25.3952767/85.9233168,405-52-792-51620,'-',Voice,'359571529396710','404450644264363',-,AIR BHR,'9934129226',,1201,,,,
'9771098795',IN,Pre,'9334074305',3087,RJIL-BR,'11/06/2026',00:34:45,150,25.3876427/85.9178769,405-52-792-4660,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'355295347921100','405522108794726',-,AIR BHR,'9934129181',0884,,,,,
'7739332088',SMT,Pre,'BT-WIPJCB-S',,-,'11/06/2026',00:36:15,0,25.3876427/85.9178769,405-52-792-4660,,---,'919442499994',SMS,'357601279052960','405523225712640',-,AIR BHR,'9934129226',,,,,,
'9771098795',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',00:37:15,0,25.3876427/85.9178769,405-52-792-4660,,---,'919831029344',SMS,'355295347921100','405522108794726',-,AIR BHR,'9934129181',,,,,,
'9771098795',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',00:37:29,0,25.3876427/85.9178769,405-52-792-4660,,---,'919831029344',SMS,'355295347921100','405522108794726',-,AIR BHR,'9934129181',,,,,,
'9771098795',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',00:37:34,0,25.3876427/85.9178769,405-52-792-4660,,---,'919831029344',SMS,'355295347921100','405522108794726',-,AIR BHR,'9934129181',,,,,,
'9771098795',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',00:37:36,0,25.3876427/85.9178769,405-52-792-4660,,---,'919831029344',SMS,'355295347921100','405522108794726',-,AIR BHR,'9934129181',,,,,,
'7050438293',OUT,Pre,'9955135486',2726,AIR-BR,'11/06/2026',00:43:32,139,25.3876427/85.9178769,405-52-792-4660,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'358153328238340','405521222468974',-,AIR BHR,'9934129226',,2236,,,,
'9408809142',IN,Pre,'9687183531',4106,VODA-GJ,'11/06/2026',00:44:12,56,25.3876427/85.9178769,405-52-792-4660,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'865643049212480','404980493892973',-,AIR BHR,'9934129223',0885,,,,,
'7739332088',SMT,Pre,'BG-WIPJCB-S',,-,'11/06/2026',00:50:30,0,25.3876427/85.9178769,405-52-792-4660,,---,'919427099987',SMS,'357601279052960','405523225712640',-,AIR BHR,'9934129226',,,,,,
