BHARTI AIRTEL LIMITED 

BIHAR JHARKHAND 

Call Details of CELL ID '405-52-792-18855' from '11-Jun-2026 00:00:00' to '11-Jun-2026 23:59:59' 

Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:12:25,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:12:30,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMT,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:16:00,0,25.4000219/85.9196172,405-52-792-18855,,---,'917003075016',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:22:30,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:23:01,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'8434732409',IN,Pre,'8252811532',3087,RJIL-BR,'11/06/2026',00:25:07,10794,25.4000219/85.9196172,405-52-792-18859,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'353015615500040','405524215876596',-,AIR BHR,'9934129181',0894,,,,,
'9939132321',SMT,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:28:26,0,25.4000219/85.9196172,405-52-792-18855,,---,'917003075016',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:28:59,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMT,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:29:39,0,25.4000219/85.9196172,405-52-792-18855,,---,'917003075016',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMT,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:30:04,0,25.4000219/85.9196172,405-52-792-18855,,---,'917003075016',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:30:22,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:31:12,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMO,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:31:33,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934029007',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'9939132321',SMT,Pre,'7667301549',3087,RJIL-BR,'11/06/2026',00:35:57,0,25.4000219/85.9196172,405-52-792-18855,,---,'917003075016',SMS,'358723416495920','405524223462700',-,AIR BHR,'9934129181',,,,,,
'7633026021',OUT,Pre,'9990596908',3103,RJIL-DL,'11/06/2026',01:48:13,346,25.4000219/85.9196172,405-52-792-18855,25.3876427/85.9178769,405-52-792-4669,'-',Voice,'351079896278360','405524200516467',-,AIR BHR,'9934129181',,0896,,,,
'8084093325',IN,Pre,'7870744684',3499,AIR-BR,'11/06/2026',02:33:20,50,25.4000219/85.9196172,405-52-792-18855,25.3952767/85.9233168,405-52-792-51625,'-',Voice,'357740100958070','405524225100233',-,AIR BHR,'9934129226',2264,,,,,
'7033046485',OUT,Pre,'6287715520',2726,AIR-BR,'11/06/2026',02:36:10,77,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'352239848912810','405525211411833',-,AIR BHR,'9934129181',,2557,,,,
'9771047731',OUT,Pre,'612112',,-,'11/06/2026',03:19:04,13,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'352521701425020','405524220926443',-,AIR BHR,'9934129181',,1843,,,,
'7970944231',SMT,Pre,'AIRMCA-S',,-,'11/06/2026',03:48:10,0,25.4000219/85.9196172,405-52-792-18855,,---,'919934129208',SMS,'359988241755280','405525223740355',-,AIR BHR,'9934129179',,,,,,
'7970944231',SMT,Pre,'AB-AIRMCA-S',,-,'11/06/2026',03:48:14,0,25.4000219/85.9196172,405-52-792-18855,,---,'919810051688',SMS,'359988241755280','405525223740355',-,AIR BHR,'9934129179',,,,,,
'8969541788',IN,Pre,'6200067231',3087,RJIL-BR,'11/06/2026',04:00:34,10,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'352339230770240','405525190204717',-,AIR BHR,'9934129181',0879,,,,,
'8292045835',OUT,Pre,'7484045835',2726,AIR-BR,'11/06/2026',04:00:38,43,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'351392427118670','405525220953166',-,AIR BHR,'9934129422',,5028,,,,
'7319795650',OUT,Pre,'6200564696',3087,RJIL-BR,'11/06/2026',04:20:18,24,25.4000219/85.9196172,405-52-792-18855,25.3952767/85.9233168,405-52-792-51625,'-',Voice,'354242002438150','405524221405650',-,AIR BHR,'9934129179',,1606,,,,
'9122993882',IN,Pre,'9304103692',2726,AIR-BR,'11/06/2026',04:33:21,64,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'350480568370190','405525110835276',-,AIR BHR,'9934129179',1716,,,,,
'8797081043',IN,Pre,'7643969324',3499,AIR-BR,'11/06/2026',04:36:06,74,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'860030048501570','405525208004310',-,AIR BHR,'9934129223',5166,,,,,
'8235599733',OUT,Pre,'8929027276',4108,VODA-DL,'11/06/2026',04:40:20,13,25.4000219/85.9196172,405-52-792-18855,25.3876427/85.9178769,405-52-792-4660,'-',Voice,'353015618593300','405523221855485',-,AIR BHR,'9934129181',,1201,,,,
'8292045835',OUT,Pre,'7484045835',2726,AIR-BR,'11/06/2026',04:45:36,661,25.3987588/85.9133416,405-52-792-20692,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'351392427118670','405525220953166',-,AIR BHR,'9934129422',,5198,,,,
'6206332687',IN,Pre,'7004860034',3087,RJIL-BR,'11/06/2026',04:48:17,24,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'351763132725960','405523201005881',-,AIR BHR,'9934129181',2560,,,,,
'9122993882',IN,Pre,'9304103692',2726,AIR-BR,'11/06/2026',04:54:14,55,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'350480568370190','405525110835276',-,AIR BHR,'9934129179',2984,,,,,
'8540036513',IN,Pre,'9525594437',2100,IDEA-BR,'11/06/2026',04:54:18,23,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'352598130797820','405876145345309',-,AIR BHR,'9934129226',1205,,,,,
'8292045835',OUT,Pre,'7484045835',2726,AIR-BR,'11/06/2026',04:57:18,13,25.4000219/85.9196172,405-52-792-18855,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'351392427118670','405525220953166',-,AIR BHR,'9934129422',,5031,,,,
'8105365908',OUT,Pre,'7903101936',3087,RJIL-BR,'11/06/2026',04:57:50,58,25.4000219/85.9196172,405-52-792-18855,25.3876427/85.9178769,405-52-792-4669,'-',Voice,'356854077583910','404310496721919',-,AIR BHR,'9934129226',,2260,,,,
'8105365908',OUT,Pre,'7903101936',3087,RJIL-BR,'11/06/2026',05:00:19,69,25.4000219/85.9196172,405-52-792-18855,25.3876427/85.9178769,405-52-792-4669,'-',Voice,'356854077583910','404310496721919',-,AIR BHR,'9934129226',,1205,,,,
'9122999697',SMT,Pre,'JK-BOBTXN-S',,-,'11/06/2026',05:00:42,0,25.4000219/85.9196172,405-52-792-18855,,---,'917003077801',SMS,'350960979244200','405522203627813',-,AIR BHR,'9934129181',,,,,,
'9122993882',IN,Pre,'9304103692',2726,AIR-BR,'11/06/2026',05:00:43,15,25.4000219/85.9196172,405-52-792-18850,25.4000219/85.9196172,405-52-792-18855,'-',Voice,'350480568370190','405525110835276',-,AIR BHR,'9934129179',0894,,,,,
