Name of Person/Organization,Address,Contact No.,Alternate Contact No.,E-mail Address,Landline/MSISDN/MDN/Leased Circuit ID for Internet Access,User Id for internet Access based on authentication,Source IP Address,Source Port,Translated IP Address,Translated Port,Destination IP Address,Destination Port,Static/Dynamic IP Address Allocation,IST Start Time of Public IP address allocation (hh:mm:ss),IST End Time of Public IP address allocation (hh:mm:ss),Start Date of Public IP Address allocation (dd/mm/yyyy),End Date of Public IP address allocation (dd/mm/yyyy),Source MAC-ID Address/Other device Identification number,IMSI,PGW IP address,Access Point Name,First CELL ID,Last CELL ID,TIME1 (dd/MM/yyyy HH:mm:ss),Session Duration (Seconds),Data Volume Up Link,Data Volume Down Link,Roaming Circle Indicator,Roaming Circle,SIM Type
"","","","","",919204454186,919204454186,10.102.180.77,58098,157.35.24.240,58098,163.70.146.63,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:42:57,92,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,38410,157.35.24.240,1150,23.212.254.112,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:44:26,14,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,60430,157.35.24.240,60430,49.44.236.148,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:46:46,24,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,45518,157.35.24.240,45518,172.217.194.138,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:28:20,395,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,52926,157.35.24.240,52926,216.239.38.223,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:30:18,14,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,32798,157.35.24.240,32798,216.239.32.223,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:30:22,380,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,45720,157.35.24.240,54138,129.227.29.103,443,DYNAMIC,20:50:29,21:20:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:51:17,19,659338,882209,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,57980,157.35.24.240,54323,163.70.146.23,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:33:35,508,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,49078,157.35.24.240,45352,57.144.176.141,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:49:06,32,8613550,9492790,HOME,Bihar,""
"","","","","",919204454186,919204454186,10.102.180.77,42772,157.35.24.240,42772,216.239.36.223,443,DYNAMIC,20:20:29,20:50:29,2026/06/11,2026/06/11,354985412147724,405856140571088,2405:200:353:eeee:10:3707:0:2,jionet,405856062c730,405856062c730,2026/06/11 20:49:35,369,8613550,9492790,HOME,Bihar,""
