BHARTI AIRTEL LTD

Pan India

Dynamic IPDR OF PUBLIC IP6 : 2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02 AND PUBLIC PORT : 56810 from 16-Jun-2026 00:00:00 to 16-Jun-2026 23:59:59

MSISDN_userID,IMEI,IMSI,Downlink_Vol,Uplink_Vol,Event_Start_Time,Session_Start_Time,Session_End_Time,Pre_Post,Roaming_Circle,ICR_Operator_Name,Home_Circle,Source_Public_IPv4,Source_Public_IPv6,Source_Public_Port,Destination_IP4,Destination_IP6,Destination_Port,Source_Private_IPV4,Source_Handset_Port,Duration,Charging_ID,Access_Point_Name,PACO_GW_IP,2g/4g/5g,  CGI Latitude, CGI Longitude, CGI
7086627944,8682370797483733,405561029809693,6683984,1895618,16-Jun-2026 18:04:10,16-Jun-2026 17:15:22,16-Jun-2026 18:59:12,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325
7086627944,8682370797483733,405561029809693,6683984,1895618,16-Jun-2026 18:01:53,16-Jun-2026 17:15:22,16-Jun-2026 18:59:12,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325
7086627944,8682370797483733,405561029809693,6683984,1895618,16-Jun-2026 17:59:42,16-Jun-2026 17:15:22,16-Jun-2026 18:59:12,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325
7086627944,8682370797483733,405561029809693,6683984,1895618,16-Jun-2026 17:56:15,16-Jun-2026 17:15:22,16-Jun-2026 18:59:12,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325
7086627944,8682370797483733,405561029809693,27879965,18024361,16-Jun-2026 18:01:53,16-Jun-2026 17:15:22,16-Jun-2026 18:59:13,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325
7086627944,8682370797483733,405561029809693,27879965,18024361,16-Jun-2026 17:56:15,16-Jun-2026 17:15:22,16-Jun-2026 18:59:13,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325
7086627944,8682370797483733,405561029809693,27879965,18024361,16-Jun-2026 18:04:10,16-Jun-2026 17:15:22,16-Jun-2026 18:59:13,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325
7086627944,8682370797483733,405561029809693,27879965,18024361,16-Jun-2026 17:59:42,16-Jun-2026 17:15:22,16-Jun-2026 18:59:13,Pre,ASSAM,,ASSAM,,2401:4900:b652:fa5f:2b9d:31e7:62ba:3f02,56810,,2a03:2880:f346:121:face:b00c:0:7260,5222,,56810,7200,4196252471,airtelgprs.com,106.209.236.243,4G,26.109978,91.804692,405-56-7138-249983325

 This is System generated report, and needs no signature.

 17-Jun-2026 17:06:37
