BHARTI AIRTEL LTD

Pan India

GPRS OF CELL ID : 405-52-2325-232441632 from 11-Jun-2026 19:40:00 to 11-Jun-2026 21:00:00

 Mobile No.,IP Address,IMEI,IMSI,Downlink Vol,Uplink Vol,Total Vol,Session Start Time,Session End Time, Pre/Post,Roaming Circle,2g/4g/5g,ICR Operator Name,Home Circle,IP,  CGI Latitude, CGI Longitude, CGI
9661319501,100.91.135.6,8688600470235106,405521204793171,9894993,1482618,11377611,11-Jun-2026 17:54:43,11-Jun-2026 19:49:46,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3cdd:c21d:0:0:225:d0a0,25.5461503,86.5656102,405-52-2325-232441632
9570715227,100.83.54.177,8637690515832369,405522203219645,274540597,12901498,287442095,11-Jun-2026 18:02:54,11-Jun-2026 20:02:47,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3b03:a7f3:b0c6:e33a:cd78:fd93,25.5461503,86.5656102,405-52-2325-232441632
8264592492,100.85.98.101,3578942972522701,404022406304126,0,0,0,11-Jun-2026 18:03:13,11-Jun-2026 19:53:42,Pre,BIHAR-JHAR,4G,,PUNJAB,2401:4900:1203:7025:1:2:9190:7aa7,25.5461503,86.5656102,405-52-2325-232441632
8235148726,100.119.250.143,3518392430421678,405526210158241,428,0,428,11-Jun-2026 18:11:38,11-Jun-2026 19:53:49,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73e4:5fb:80ae:6b17:44eb:ac52,25.5461503,86.5656102,405-52-2325-232441632
7631900589,100.71.40.254,8653430633149757,405525220134068,229480158,20801322,250281480,11-Jun-2026 18:18:07,11-Jun-2026 20:18:02,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:362e:7223:2:1:86e8:a755,25.5461503,86.5656102,405-52-2325-232441632
8235980914,100.85.195.99,3591186612924601,405523222228802,316914064,24472488,341386552,11-Jun-2026 18:18:15,11-Jun-2026 20:18:02,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3b06:d081:8532:4991:4ca1:59d1,25.5461503,86.5656102,405-52-2325-232441632
7631900589,100.71.40.254,8653430633149757,405525220134068,119090,31913,151003,11-Jun-2026 18:19:04,11-Jun-2026 20:14:30,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:362e:7223:2:1:86e8:a755,25.5461503,86.5656102,405-52-2325-232441632
8051129347,100.127.190.31,8682610759872776,405525223943012,1081211,195895,1277106,11-Jun-2026 18:33:06,11-Jun-2026 19:49:56,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:d16e:1d93:316d:f750:95a8:f05d,25.5461503,86.5656102,405-52-2325-232441632
7520259064,100.108.132.57,8645300772581000,405521229383921,24213400,1597195,25810595,11-Jun-2026 18:39:22,11-Jun-2026 19:41:31,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:b501:9354:d5d0:bb26:dc60:b4c6,25.5461503,86.5656102,405-52-2325-232441632
7546893686,100.79.192.70,8645620589309578,405523224208926,244974126,15497523,260471649,11-Jun-2026 18:44:10,11-Jun-2026 20:44:08,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73e8:a693:601f:3cc5:7616:e648,25.5461503,86.5656102,405-52-2325-232441632
6287786824,100.90.62.237,3513421300545478,405524226598993,389672249,13148848,402821097,11-Jun-2026 18:46:45,11-Jun-2026 20:14:44,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3ccd:1e73:0:0:628:3209,25.5461503,86.5656102,405-52-2325-232441632
9262854234,100.69.108.254,8683310715782378,405524193419115,2946269,175351,3121620,11-Jun-2026 18:47:40,11-Jun-2026 20:02:19,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:7661:6197:596b:917f:d16d:5c9e,25.5461503,86.5656102,405-52-2325-232441632
9262854234,100.69.108.254,8683310715782378,405524193419115,90925041,5161417,96086458,11-Jun-2026 18:47:44,11-Jun-2026 20:00:35,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:7661:6197:596b:917f:d16d:5c9e,25.5461503,86.5656102,405-52-2325-232441632
5754027706849,,8691120864977500,405526214358502,4531,5160,9691,11-Jun-2026 18:49:50,11-Jun-2026 20:33:19,Post,BIHAR-JHAR,4G,,BIHAR-JHAR,fc10:0:3c1:c688:0:0:0:2,25.5461503,86.5656102,405-52-2325-232441632
7546893686,100.79.192.70,8645620589309578,405523224208926,75614,19340,94954,11-Jun-2026 18:58:04,11-Jun-2026 20:30:06,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73e8:a693:601f:3cc5:7616:e648,25.5461503,86.5656102,405-52-2325-232441632
9546998150,100.94.137.60,8657610724325321,405525222054341,123141,217647,340788,11-Jun-2026 18:59:34,11-Jun-2026 19:52:32,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:b029:122f:d0fb:638b:f223:8c93,25.5461503,86.5656102,405-52-2325-232441632
8877587769,100.107.223.122,3524062253355001,405525204044542,0,0,0,11-Jun-2026 19:05:31,11-Jun-2026 21:05:31,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:168f:e335:1:2:90ed:c8c1,25.5461503,86.5656102,405-52-2325-232441632
7295028025,100.96.10.28,8647200665788725,405521219342523,114545271,18949473,133494744,11-Jun-2026 19:06:03,11-Jun-2026 21:06:02,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:73fa:3fae:6568:d42e:416c:5ed3,25.5461503,86.5656102,405-52-2325-232441632
7903044806,100.88.240.230,3571782220819801,405522222159361,3228562,749290,3977852,11-Jun-2026 19:06:54,11-Jun-2026 20:12:18,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:b513:485b:662c:341f:4222:7812,25.5461503,86.5656102,405-52-2325-232441632
7903044806,100.88.240.230,3571782220819801,405522222159361,129227426,6608952,135836378,11-Jun-2026 19:07:00,11-Jun-2026 20:12:19,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:b513:485b:662c:341f:4222:7812,25.5461503,86.5656102,405-52-2325-232441632
9234852715,100.119.133.153,8664100792150584,405525222202084,732949106,76942594,809891700,11-Jun-2026 19:07:07,11-Jun-2026 20:03:07,Pre,BIHAR-JHAR,5G,,BIHAR-JHAR,2401:4900:d164:c70c:300:fec0:5221:690b,25.5461503,86.5656102,405-52-2325-232441632
5754208199737,10.202.63.212,3518306551600500,404100802617923,1518388361,92225311,1610613672,11-Jun-2026 19:08:15,11-Jun-2026 20:31:00,Post,BIHAR-JHAR,4G,,DELHI,2401:4900:b2b5:e84b:29a9:f859:ed82:a604,25.5461503,86.5656102,405-52-2325-232441632
